============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
============================================================

Row 2: Target column is empty
Row 3: Target column is empty
Row 4: Target column is empty
Row 5: Target column is empty
Row 6: Target column is empty
Row 7: Target column is empty
Row 8: Target column is empty
Row 9: Target column is empty
Row 10: Target column is empty
Row 11: Target column is empty
Row 12: Target column is empty
Row 13: Target column is empty
Row 14: Target column is empty
Row 15: Target column is empty
Row 16: Target column is empty
Row 17: Target column is empty
Row 18: Target column is empty
Row 19: Target column is empty
Row 20: Target column is empty
Row 21: Target column is empty
Row 22: Target column is empty
Row 23: Target column is empty
Row 24: Target column is empty
Row 25: Target column is empty
Row 26: Target column is empty
Row 27: Target column is empty
Row 28: Target column is empty
Row 29: Target column is empty
Row 30: Target column is empty
Row 31: Target column is empty
Row 32: Target column is empty
Row 33: Target column is empty
Row 34: Target column is empty
Row 35: Target column is empty
Row 36: Target column is empty
Row 37: Target column is empty
Row 38: Target column is empty
Row 39: Target column is empty
Row 40: Target column is empty
Row 41: Target column is empty
Row 42: Target column is empty
Row 43: Target column is empty
Row 44: Target column is empty
Row 45: Target column is empty
Row 46: Target column is empty
Row 47: Target column is empty
Row 48: Target column is empty
Row 49: Target column is empty
Row 50: Target column is empty
Row 51: Target column is empty
Row 52: Target column is empty
Row 53: Target column is empty
Row 54: Target column is empty
Row 55: Target column is empty
Row 56: Target column is empty
Row 57: Target column is empty
Row 58: Target column is empty
Row 59: Target column is empty
Row 60: Target column is empty
Row 61: Target column is empty
Row 62: Target column is empty
Row 63: Target column is empty
Row 64: Target column is empty
Row 65: Target column is empty
Row 66: Target column is empty
Row 67: Target column is empty
Row 68: Target column is empty
Row 69: Target column is empty
Row 70: Target column is empty
Row 71: Target column is empty
Row 72: Target column is empty
Row 73: Target column is empty
Row 74: Target column is empty
Row 75: Target column is empty
Row 76: Target column is empty
Row 77: Target column is empty
Row 78: Target column is empty
Row 79: Target column is empty
Row 80: Target column is empty
Row 81: Target column is empty
Row 82: Target column is empty
Row 83: Target column is empty
Row 84: Target column is empty
Row 85: Target column is empty
Row 86: Target column is empty
Row 87: Target column is empty
Row 88: Target column is empty
Row 89: Target column is empty
Row 90: Target column is empty
Row 91: Target column is empty
Row 92: Target column is empty
Row 93: Target column is empty
Row 94: Target column is empty
Row 95: Target column is empty
Row 96: Target column is empty
Row 97: Target column is empty
Row 98: Target column is empty
Row 99: Target column is empty
Row 100: Target column is empty
Row 101: Target column is empty
Row 102: Target column is empty
Row 103: Target column is empty
Row 104: Target column is empty
Row 105: Target column is empty
Row 106: Target column is empty
Row 107: Target column is empty
Row 108: Target column is empty
Row 109: Target column is empty
Row 110: Target column is empty
Row 111: Target column is empty
Row 112: Target column is empty
Row 113: Target column is empty
Row 114: Target column is empty
Row 115: Target column is empty
Row 116: Target column is empty
Row 117: Target column is empty
Row 118: Target column is empty
Row 119: Target column is empty
Row 120: Target column is empty
Row 121: Target column is empty
Row 122: Target column is empty
Row 123: Target column is empty
Row 124: Target column is empty
Row 125: Target column is empty
Row 126: Target column is empty
Row 127: Target column is empty
Row 128: Target column is empty
Row 129: Target column is empty
